index,Weight,Source,Target
"金华市,绍兴市",217,金华市,绍兴市
"北海市,南宁市",217,北海市,南宁市
"北京市,杭州市",216,北京市,杭州市
"上海市,盐城市",216,上海市,盐城市
"温州市,丽水市",216,温州市,丽水市
"广州市,衡阳市",216,广州市,衡阳市
"南宁市,桂林市",216,南宁市,桂林市
"武汉市,荆门市",215,武汉市,荆门市
"芜湖市,合肥市",215,芜湖市,合肥市
"北京市,长春市",215,北京市,长春市
"榆林市,西安市",213,榆林市,西安市
"北京市,合肥市",213,北京市,合肥市
"重庆市,广安市",213,重庆市,广安市
"怀化市,黔东南苗族侗族自治州",213,怀化市,黔东南苗族侗族自治州
"广州市,北京市",213,广州市,北京市
"南宁市,北海市",213,南宁市,北海市
"武汉市,上海市",212,武汉市,上海市
"滨州市,淄博市",212,滨州市,淄博市
"烟台市,青岛市",212,烟台市,青岛市
"珠海市,广州市",211,珠海市,广州市
"银川市,中卫市",211,银川市,中卫市
"苏州市,扬州市",211,苏州市,扬州市
"武汉市,重庆市",211,武汉市,重庆市
"广州市,云浮市",210,广州市,云浮市
"亳州市,阜阳市",210,亳州市,阜阳市
"南昌市,宜春市",210,南昌市,宜春市
"苏州市,合肥市",210,苏州市,合肥市
"上海市,金华市",209,上海市,金华市
"武汉市,随州市",208,武汉市,随州市
"湛江市,佛山市",208,湛江市,佛山市
"鹤岗市,佳木斯市",207,鹤岗市,佳木斯市
"杭州市,合肥市",207,杭州市,合肥市
"南京市,马鞍山市",207,南京市,马鞍山市
"南京市,泰州市",207,南京市,泰州市
"无锡市,泰州市",206,无锡市,泰州市
"济南市,淄博市",206,济南市,淄博市
"太原市,长治市",206,太原市,长治市
"毕节市,黔东南苗族侗族自治州",205,毕节市,黔东南苗族侗族自治州
"潍坊市,青岛市",205,潍坊市,青岛市
"濮阳市,聊城市",205,濮阳市,聊城市
"四平市,延边朝鲜族自治州",205,四平市,延边朝鲜族自治州
"无锡市,南京市",204,无锡市,南京市
"郑州市,濮阳市",204,郑州市,濮阳市
"淮北市,宿州市",203,淮北市,宿州市
"三明市,杭州市",203,三明市,杭州市
"哈尔滨市,延边朝鲜族自治州",203,哈尔滨市,延边朝鲜族自治州
"莆田市,福州市",203,莆田市,福州市
"北京市,邯郸市",203,北京市,邯郸市
"重庆市,黔东南苗族侗族自治州",202,重庆市,黔东南苗族侗族自治州
"福州市,漳州市",202,福州市,漳州市
"福州市,三明市",201,福州市,三明市
"哈尔滨市,北京市",201,哈尔滨市,北京市
"南昌市,上饶市",201,南昌市,上饶市
"北京市,呼和浩特市",201,北京市,呼和浩特市
"嘉兴市,宁波市",200,嘉兴市,宁波市
"成都市,广安市",200,成都市,广安市
"合肥市,淮南市",200,合肥市,淮南市
"武汉市,深圳市",199,武汉市,深圳市
"上海市,郑州市",199,上海市,郑州市
"烟台市,威海市",199,烟台市,威海市
"上海市,温州市",199,上海市,温州市
"荆州市,湖北省",198,荆州市,湖北省
